dataset,rung,model,split,train_rate,seed,auprc,auroc,best_f1,n_train,n_test,n_feats,wall_s
amazon,b0,xgboost,random,0.05,3,0.9078245516097563,0.9729185396952704,0.8610897927858787,432,7343,104,0.58
amazon,b,lightgbm,random,0.05,3,0.9024366631939789,0.9726532433848403,0.8508033664881407,432,7343,108,1.61
amazon,b,xgboost,random,0.05,3,0.9081758712548031,0.9730678429825299,0.8606620477290223,432,7343,108,0.58
amazon,a,lightgbm,random,0.05,4,0.8567638274741904,0.9574637629602799,0.8413897280966767,432,7343,25,1.57
amazon,a,xgboost,random,0.05,4,0.8740252494467098,0.9542822554390594,0.8520801232665639,432,7343,25,0.68
amazon,aL,lightgbm,random,0.05,4,0.8601606148755518,0.9506962815396458,0.8505231689088193,432,7343,29,1.49
amazon,aL,xgboost,random,0.05,4,0.8605591119279193,0.9405016159251092,0.8488458674609084,432,7343,29,0.57
amazon,b0,lightgbm,random,0.05,4,0.8752598326506381,0.9551757035580536,0.842186297151655,432,7343,104,1.51
amazon,b0,xgboost,random,0.05,4,0.8629592248937575,0.9455814850987774,0.8324324324324324,432,7343,104,0.52
amazon,b,lightgbm,random,0.05,4,0.8723577569213966,0.9499010394095997,0.847926267281106,432,7343,108,1.48
amazon,b,xgboost,random,0.05,4,0.8662557929393068,0.9409639710146804,0.8434303697875688,432,7343,108,0.51
amazon,a,lightgbm,random,0.1,0,0.8866846876438602,0.9603558441014798,0.8424543946932006,864,6911,25,2.75
amazon,a,xgboost,random,0.1,0,0.8797694707371745,0.9585796901246519,0.8456486042692939,864,6911,25,0.82
amazon,aL,lightgbm,random,0.1,0,0.8953441555320608,0.9673348782806401,0.8526748971193415,864,6911,29,2.56
amazon,aL,xgboost,random,0.1,0,0.8982485329795272,0.967560000564631,0.8483412322274881,864,6911,29,0.73
amazon,b0,lightgbm,random,0.1,0,0.9017213275998768,0.9706177696198329,0.8589951377633711,864,6911,104,2.67
amazon,b0,xgboost,random,0.1,0,0.8949592499011959,0.9693960249002282,0.8517915309446253,864,6911,104,0.68
amazon,b,lightgbm,random,0.1,0,0.899550823309387,0.9700100611407786,0.8521008403361344,864,6911,108,2.7
amazon,b,xgboost,random,0.1,0,0.8953250999162953,0.9691797858198758,0.8484349258649094,864,6911,108,0.66
amazon,a,lightgbm,random,0.1,1,0.8887318400032634,0.9745867363304532,0.8652138821630347,864,6911,25,2.71
